variable,Intercept,sex,age,ldl,Statins_0,antihypertensive_0,antithrombotic_0,diabetes_0,afib_0,cancer_0,copd_0,dementia_0,liver_0,ckd_0,heart_failure_0,depression_0,smi_0,CVD_0,Statins_1,antihypertensive_1,antithrombotic_1,diabetes_1,afib_1,cancer_1,copd_1,dementia_1,liver_1,ckd_1,heart_failure_1,depression_1,smi_1,Statins_2,antihypertensive_2,antithrombotic_2,diabetes_2,afib_2,cancer_2,copd_2,dementia_2,liver_2,ckd_2,heart_failure_2,depression_2,smi_2,Statins_3,antihypertensive_3,antithrombotic_3,diabetes_3,afib_3,cancer_3,copd_3,dementia_3,liver_3,ckd_3,heart_failure_3,depression_3,smi_3,Statins_4,antihypertensive_4,antithrombotic_4,diabetes_4,afib_4,cancer_4,copd_4,dementia_4,liver_4,ckd_4,heart_failure_4,depression_4,smi_4,Statins_5,antihypertensive_5,antithrombotic_5,diabetes_5,afib_5,cancer_5,copd_5,dementia_5,liver_5,ckd_5,heart_failure_5,depression_5,smi_5,CVD_5,Censored_5,Statins_6,antihypertensive_6,antithrombotic_6,diabetes_6,afib_6,cancer_6,copd_6,dementia_6,liver_6,ckd_6,heart_failure_6,depression_6,smi_6,CVD_6,Censored_6,Statins_7,antihypertensive_7,antithrombotic_7,diabetes_7,afib_7,cancer_7,copd_7,dementia_7,liver_7,ckd_7,heart_failure_7,depression_7,smi_7,CVD_7,Censored_7,Statins_8,antihypertensive_8,antithrombotic_8,diabetes_8,afib_8,cancer_8,copd_8,dementia_8,liver_8,ckd_8,heart_failure_8,depression_8,smi_8,CVD_8,Censored_8,Statins_9,antihypertensive_9,antithrombotic_9,diabetes_9,afib_9,cancer_9,copd_9,dementia_9,liver_9,ckd_9,heart_failure_9,depression_9,smi_9,CVD_9,Censored_9,Statins_10,antihypertensive_10,antithrombotic_10,diabetes_10,afib_10,cancer_10,copd_10,dementia_10,liver_10,ckd_10,heart_failure_10,depression_10,smi_10,CVD_10
Censored_9,-31.5660685235249,-6.28852140131176e-13,7.03904004231253e-14,5.68671134165102e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.99136540282072e-13,4.96382510640392e-14,-9.90301510114543e-14,-3.34625819014542e-14,1.3261829720731e-12,1.78409910830079e-14,4.65685924419964e-14,-3.37628731666889e-14,-3.43545565822733e-13,-3.49266594163142e-13,-4.55501493304867e-13,8.91533781542893e-14,6.02788489075216e-13,,,-2.19203834176466e-13,1.60512128948605e-13,1.39240119280106e-16,7.69791093573717e-14,1.12828554653521e-13,-3.72606380052795e-13,-1.66871786510359e-13,-3.6912107806278e-13,4.50988716175541e-13,-6.71897201843646e-15,-4.684792255339e-13,-2.41574149343537e-13,-5.2834375158167e-13,,,,,,,,,,,,,,,,
Statins_10,0.251363026215455,-0.21237971116037,-0.0855649923873915,0.543117025875695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21927317437942,0.423298135003865,0.433731584656635,1.20768965265767,0.144380677124088,-0.179321859857847,0.229191943415241,-0.131313284720227,-0.196696629547692,0.2324935079251,0.0418892793708927,-0.0630213255948273,0.23187208849452,,,,,,,,,,,,,,,,
antihypertensive_10,-1.05760945557776,0.181934111327598,-0.015528370965303,-0.09758654902204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.644052605961869,5.39737948182993,0.0161968070426039,0.211114285800086,0.42099670526157,-0.102099694145471,-0.137971701332562,-0.673831579125358,-0.230036236436836,0.42625204864116,0.221763245194659,0.119999586159233,-0.334480766577076,,,1.09787164291034,,,,,,,,,,,,,
antithrombotic_10,-7.63624423913815,-0.216706402950233,0.0395690761082706,-0.0502850005073116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.24032369275538,-0.988883644791369,6.70369449304242,0.133230582071951,-1.07467458724074,-0.247151074706188,0.152662562916249,0.462291996590685,0.742305221513321,0.661676084038661,-0.119484323039018,-0.257897731722922,0.370803041873018,,,2.34507436505502,1.31816434709661,,,,,,,,,,,,
diabetes_10,-2.24286027687621,-0.378253767589809,-0.0363110783218009,-0.284273838431501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.13262810105631,-0.591847675991284,0.747271047078614,8.45309152579011,0.297130810607552,-0.277859577031914,-0.0765985416409335,-0.423624809583415,0.0735986338962781,0.625810773194025,0.352547626056171,0.364844151923941,-0.15437227198917,,,1.9938530520137,1.27417454166775,-0.138117293392124,,,,,,,,,,,
afib_10,-8.55290537383424,-0.45343917346496,0.0506533116449441,-0.149524284530677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.975644389572372,-1.36223248499556,-1.04539906859563,-0.538359548416838,34.3458645224991,-0.261416998911152,0.188365005801453,-0.656559184999871,0.978389666521384,0.30415713713696,0.702070722072426,-0.984183330010937,-12.8340385067933,,,0.624939791171416,2.35136139187462,0.72062726443328,0.584115010521905,,,,,,,,,,
cancer_10,-3.21677917634898,-0.420388705781227,-0.0104765907178335,-0.0467146780807341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.455061211058793,-0.611869630288234,-0.0556704884326062,-0.748784438984242,-1.43083558224957,35.3488445820177,0.519453445470638,-0.351915118816375,-0.191091480277709,-0.9514525295689,-0.746922083351172,-0.0473983940440143,-14.0078721172192,,,0.440393104188819,0.601439744738646,0.184834154761331,0.878679319723184,1.68249843126009,,,,,,,,,
copd_10,-7.79968785508015,-0.515737821324223,0.0232212763460303,-0.0981335350527482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0120836304599,0.979803412460742,-16.0649423497527,0.239345910146632,-2.18468954785097,-2.15643274100389,100.12952911355,-16.8747021683164,1.51761093824625,0.018222295953842,0.641973237624339,0.829211773407062,-18.6970252362149,,,-15.0673096429906,-0.891639001832879,-15.0981437730187,-0.901414671688438,3.48328526936524,1.74051594125659,,,,,,,,
dementia_10,-9.50763606016181,0.01948828173189,0.057693533190169,-0.021963493816017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.740508466105645,0.115066896680761,-0.589031556481588,0.507185555111323,0.210791332589011,0.0980120075011317,-1.56014583934109,35.6322261304167,-13.9125328327126,-0.526080974482431,-0.353008003932634,0.0330668307188484,-13.6870894278515,,,0.451902915491189,-0.421969396566627,1.16784073575088,-0.031553778860695,0.1774812901083,0.0975907471202126,1.89126110637598,,,,,,,
liver_10,2.66411450365336,-0.570153658283716,-0.147292369925862,0.191920365710651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367748670779882,0.113418897570996,0.806572493982647,1.0965184634288,16.5509150504395,-3.02782716470591,16.7057973483298,0.653364749293731,70.5619393619832,-15.2960610883258,-15.7344445667564,-15.0284824099221,-15.8475104454773,,,-0.807606756327644,-0.272983540846357,0.822842363501298,-0.4318200814905,-16.0388516569127,2.51282651286399,-15.9023998291436,-15.6895483582468,,,,,,
ckd_10,-9.40137358752571,-0.457958235814757,0.0429761454401521,0.0214743560573508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.122254242342732,0.793351352265366,0.0302655680260584,-0.86707657301635,-1.54378784003939,-1.29813134193569,14.6356288113563,14.3370504943148,1.77955610190162,38.5962608600923,-0.179325013328095,0.0747010803040719,-14.2808076017491,,,0.387546100607602,-0.723757373978884,0.651108760498335,1.55438344006192,2.14487277400401,1.73384891000465,-15.2100963441257,-15.0371242948265,-16.2763721256731,,,,,
heart_failure_10,-15.5298159032292,-0.864496811997337,0.0955223013923366,0.0711997420458146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.984254749890209,-0.374741662764907,-0.0860660582418247,-1.44574904973836,-2.37996106488939,17.3689296187326,-0.457722700699898,-0.261086899606294,1.79471209120243,-2.05565935313087,48.137367466247,1.51904200739002,-13.7724984582828,,,-0.911659128380479,1.58523278599321,0.586621072269698,2.07103676461076,4.39632669280967,-17.3269295367605,1.70108672356291,-16.4954604839357,-15.6840071904877,0.903954393617933,,,,
depression_10,-5.71031573543227,0.63086547083082,-0.000671904751899058,-0.430734465443296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77627448850391,0.146773135554915,-1.88637635327727,-0.549090693704625,16.3474943704477,-1.8539286176599,17.5593500105679,-2.88367769635481,1.09475762569639,0.530010384972415,17.179214334467,54.4826627917902,-14.1380239849761,,,-0.769615586832791,-0.0884596502077063,2.29254551298465,-0.379113191042917,-16.0516525321284,1.27627793109395,-16.3361500882328,3.01523873651595,-16.1995262094885,-16.0193586966177,-16.7802130394954,,,
smi_10,5.56534616672534,1.22550793550158,-0.181700491614015,-0.359285398722642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.6475379199793,1.21794541551037,-15.8044694889902,-12.5601394283174,18.3595343626356,18.3776183082775,-23.4867955943627,17.958253001545,-1.58526983026174,-22.5005222418938,20.3064368104658,20.6069883853824,96.8363883675525,,,-13.8592865460531,-2.42006361362654,-12.962371736558,-13.6357285985801,-17.7408189108593,-18.2387166322755,5.23552076944828,-16.8845755836928,-16.1044165115081,5.25388326530971,-18.4501179512809,-17.0635655299609,,
CVD_10,-31.5660685235248,-7.26076980069643e-13,8.44963722872137e-14,6.61803567575999e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.64285483555365e-13,4.8378990497328e-14,-7.48558463592133e-14,1.06616719747012e-13,1.58137911318807e-12,-6.0420372866734e-14,4.79281177097514e-13,-7.00219010128182e-14,2.91018550414773e-13,5.3927294908835e-14,1.61067338538259e-14,-1.20418237313612e-13,-2.69531133215912e-13,,,-3.07524628013914e-13,2.12664200061497e-13,-3.33731794410653e-14,-7.05036837289484e-14,-3.78837416743296e-16,-3.34539008911059e-13,-6.25918123492492e-13,-3.98768605761674e-13,-1.33743244753705e-13,-4.51077187880808e-13,-1.04937549705183e-12,-3.0255979654948e-14,3.02486696329743e-13,
Censored_10,-31.5660685235248,-7.26076980069643e-13,8.44963722872137e-14,6.61803567575999e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.64285483555365e-13,4.8378990497328e-14,-7.48558463592133e-14,1.06616719747012e-13,1.58137911318807e-12,-6.0420372866734e-14,4.79281177097514e-13,-7.00219010128182e-14,2.91018550414773e-13,5.3927294908835e-14,1.61067338538259e-14,-1.20418237313612e-13,-2.69531133215912e-13,,,-3.07524628013914e-13,2.12664200061497e-13,-3.33731794410653e-14,-7.05036837289484e-14,-3.78837416743296e-16,-3.34539008911059e-13,-6.25918123492492e-13,-3.98768605761674e-13,-1.33743244753705e-13,-4.51077187880808e-13,-1.04937549705183e-12,-3.0255979654948e-14,3.02486696329743e-13,
